"Population Estimate","","","","","","","","","","","Geography","","","","","Building Estimate","","","","","","Accessibility: Total population - WorldPop (2026)","","","","","","Site Attributes","","","","","","","","","","","","","","",""
"Total population - Meta (2023-04-21)","Total population - WorldPop (2026)","Total population - WorldPop UN (2020)","Total population - Grid3","Total population - Kontur (2023-10-31)","Total women - Meta (2023-04-21)","Total men - Meta (2023-04-21)","Children under 5 - Meta (2023-04-21)","People 15 to 24 - Meta (2023-04-21)","Women 15 to 49 - Meta (2023-04-21)","People 60 and older - Meta (2023-04-21)","Country (Admin 0)","State (Admin 1)","Local government area (Admin 2)","Ward (Admin 3)","Name","OpenStreetMap Buildings (2026-02-20)","Overture Buildings (2026-02-20)","Google Buildings 60+% Confidence (2023-05)","Google Buildings 70+% Confidence (2023-05)","Google Buildings 80+% Confidence (2023-05)","Average Building Footprint (m²) (2023-05)","People within 1hr of driving","People between 1hr - 4hr of driving","People further than 4hr of driving","People within 1hr of walking","People between 1hr - 4hr of walking","People further than 4hr of walking","location_id","facility_level_text","ownership_code","organization_id","nhfr_code","ownership_text","grid3_globalid","facility_level_code","status","country","state","nhfr_uid","lga","lga_location_id","Site Longitude","Site Latitude"
"622","414","364","732","515","311","311","104","104","104","0","Nigeria","Bauchi","Toro","Rauta Geji","Bichiki Health Post","225","288","265","217","68","39.17","414","0","0","414","0","0","Invalid Number","Health Post","public","org-dc6b4306-8aa9-46f0-a374-970673bcf72f","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","48961166","Toro","nga-ba-5018","9.63659643504","10.2412367593"
"266","642","491","564","259","133","133","38","38","76","0","Nigeria","Bauchi","Toro","Rauta Geji","Dannga Health Post","176","219","189","160","80","21.58","629","13","0","620","22","0","866","Health Post","public","org-0866b548-bda0-43e2-96df-d182b27af4f8","Invalid Number","Unknown","866","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.58826","10.31948"
"5370","4910","4861","5607","5548","2685","2685","816","816","1291","0","Nigeria","Bauchi","Toro","Rauta Geji","Felun Abba Primary Health Clinic","2733","3093","2242","1956","942","28.90","4866","44","0","2317","2594","0","Invalid Number","Primary Health Clinic","public","org-f14cbc29-b746-4132-9c83-59bfc3d73590","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","74387431","Toro","nga-ba-5018","9.63182761417","10.3419108249"
"950","673","546","654","1124","475","475","136","136","271","0","Nigeria","Bauchi","Toro","Rauta Geji","Gasuwo Primary Health Clinic","247","291","247","212","92","47.10","673","0","0","671","2","0","Invalid Number","Primary Health Clinic","public","org-e986ac20-25ef-48a4-9568-a8e1dff2d37e","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","39159190","Toro","nga-ba-5018","9.62315744","10.24250716"
"2488","1849","1881","3284","2585","1244","1244","402","402","479","0","Nigeria","Bauchi","Toro","Rauta Geji","Geji Primary Health Clinic","1319","1552","1173","933","266","30.13","1822","27","0","1688","161","0","Invalid Number","Primary Health Clinic","public","org-bda81a24-49e8-4c33-88a6-67b9c96da5de","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","43185643","Toro","nga-ba-5018","9.6450726274","10.2923265806"
"5673","5233","5632","8483","6066","2837","2837","831","831","1518","0","Nigeria","Bauchi","Toro","Rauta Geji","Nahuta Primary Health Care Center","3808","4554","3628","3001","1100","26.50","5233","0","0","3181","2052","0","8","Primary Health Center","public","org-8c52254a-112e-4ca5-a34a-566e9a4c3dbf","5","Local Government","8","primary","active","Nigeria","Bauchi","53736046","Toro","nga-ba-5018","9.62127430133","10.4950947296"
"4342","4995","3846","10649","4704","2171","2171","1011","555","1110","0","Nigeria","Bauchi","Toro","Rauta Geji","Nastin Health Post","1","3229","3752","2747","522","19.19","4995","0","0","2073","2922","0","Invalid Number","Health Post","public","org-e0578fdb-b6b6-4f33-bf9b-43578b3aec7b","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.616653","10.618429"
"2439","3670","2954","6497","1749","1220","1220","348","348","697","0","Nigeria","Bauchi","Toro","Rauta Geji","Rauta Health Post","1513","2759","2647","2022","448","22.66","3627","43","0","1774","1854","42","Invalid Number","Health Post","public","org-efd37fa3-5d1c-411c-a97b-e4c469e4b21d","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","16802497","Toro","nga-ba-5018","9.569142","10.519574"
"2160","4941","3560","8352","3077","1080","1080","362","302","590","0","Nigeria","Bauchi","Toro","Rauta Geji","Rauta Primary Health Clinic","442","2765","3004","2118","315","16.81","4875","66","0","1764","3111","66","3875","Primary Health Clinic","public","org-3875b91b-32c6-418b-919d-7556fcfbe14c","5","Local Government","3875","primary","active","Nigeria","Bauchi","45782175","Toro","nga-ba-5018","9.573265","10.520415"
"3764","5009","4353","6245","3979","1882","1882","538","538","1075","0","Nigeria","Bauchi","Toro","Rauta Geji","Runtu Health Post","2369","2997","2839","2313","630","21.75","5009","0","0","2406","2603","0","363","Health Post","public","org-363fb6f1-6694-4335-b693-ccd63070ed8a","5","Local Government","363","primary","active","Nigeria","Bauchi","47394107","Toro","nga-ba-5018","9.54422","10.42656"
"5810","4384","4880","6026","6728","2905","2905","830","830","1660","0","Nigeria","Bauchi","Toro","Ribina East","Fadan Ribina Health Clinic","1455","2056","2003","1709","924","42.87","4384","0","0","4384","0","0","2","Health Post","public","org-2ea3e629-9228-463a-a013-4f783d7876fd","5","Local Government","2","primary","active","Nigeria","Bauchi","68799562","Toro","nga-ba-5018","9.07523","10.08552"
"3831","2731","2792","4102","4411","1915","1915","547","547","1095","0","Nigeria","Bauchi","Toro","Ribina East","Girjule Maternity","1110","1527","1576","1313","651","33.90","2731","0","0","2040","691","0","53","Primary Health Clinic","public","org-53c0e186-ea8b-4cbf-920c-883bb3e047af","Invalid Number","Unknown","53","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.06512","10.09651"
